Publisher Name,Publisher Registry Id,Activities,Organisations,Files,Activity Files,Organisation Files,Total File Size,Reporting Orgs (count),Reporting Orgs,Data Tickets
Traidcraft Exchange,traidcraft,3,1,2,1,1,36512,1,GB-COH-3031674,0
Transparency International Secretariat,transparency-international,11,1,12,11,1,38630,1,21033,1
Triple Line & Crown Agents (Joint Venture),tripleline_crownagents,179,0,3,3,0,793551,1,GB-COH-03788027,0
Trocaire (Northern Ireland),troc,2,1,2,1,1,19663,1,GB-COH-NI21482,0
Twin,twin-iati,1,0,1,1,0,5624,1,GB-CHC-291824,1
United Nations Capital Development Fund,uncdf,181,0,1,1,0,193357,1,41111,1
United Nations Development Programme,undp,8202,1,157,156,1,43119217,1,41114,3
United Nations Population Fund,unfpa,718,1,2,1,1,2002329,1,41119,0
UN-Habitat,unhabitat,231,0,1,1,0,847977,1,41120,0
United Nations Children's Fund,unicef,5922,1,2,1,1,17778871,1,41122,0
United States,unitedstates,563518,3,424,421,3,983276962,5,302;US;US18-MCC;US6-DTRE;USG-DOS-AID,5
UNOPS (United Nations Office for Project Services),unops,1128,1,151,150,1,14329648,1,41AAA,2
UN Women,unw,54,0,54,54,0,143492,1,411124,6
Vision Aid Overseas,vao,0,1,1,0,1,441,1,GBCHC1081695,0
Vision for a Nation Foundation,vfan,0,1,2,1,1,1504,1,GB-CHC-1140123,0
Viva,viva,0,1,1,0,1,646,1,GB-CHC-1053389,0
Voluntary Service Overseas (VSO),vso,46,1,2,1,1,622803,1,GB-CHC-313757,0
World Association for Christian Communication (UK),wacc-uk,1,0,1,1,0,14635,1,GB-COH-2082273,0
War on Want,waronwant,2,0,2,2,0,35885,1,GB-CHC-208724,0
WaterAid,wateraid,96,1,9,8,1,831717,1,GB-CHC-288701,1
Women and Children First (UK),wcf,0,1,1,0,1,477,1,GB-CHC-1085096,0
United Nations World Food Programme,wfp,605,1,2,1,1,3939817,1,41140,0
Women for Women International (UK),wfwiuk,2,0,1,1,0,10963,1,GB-CHC-1115109,0
Womankind Worldwide,womankindworld,29,0,1,1,0,107062,1,GBCHC328206,2
The World Bank,worldbank,5768,1,153,152,1,87930352,1,44000,7
Water & Sanitation for the Urban Poor (WSUP),wsup,1,1,2,1,1,5546,1,GB-COH-5419428,0
World University Service of Canada,wusc,1,1,2,1,1,11176,1,CA-CRA_ARC-119304848,0
World Vision UK,wvuk,63,0,24,24,0,244968,1,GB-CHC-285908,1
WWF-UK,wwf-uk,201,0,8,8,0,132534,1,GB-COH-1081247    ,4
World Wide Fund for Nature - Pakistan,wwfpakistan,2,1,2,1,1,7438,1,21-PK-WWF,0
Y Care International,ycare,2,0,2,2,0,13156,2,  1109789;GB-CHC-1109789,0
Young Innovations Pvt. Ltd,yipl,2,0,1,1,0,6170,1,NP-CRO-45995/063/064,0
Zimbabwe Educational Trust,zet,1,1,2,1,1,4872,1,GB-CHC-327519,0
Zimmerman & Zimmerman,zimmzimm,2,1,3,2,1,12059,2,NL-KVK-51018586;NL-KVK-51018586-0001,0
